swift_code,bank_name,country,city,address
NKBMUXKYXXX,"Avery, Rodriguez and Strickland BANK",USA,REEDBURY,7397 ROBERTS WAYS APT. 977
DNLZAXMOXXX,"Dixon, Gonzalez and Alvarado BANK",DEU,MATTHEWBERG,037 ERICKSON MOUNTAINS
AMJBBNVRXXX,"Barnes, Smith and Stephenson BANK",CHN,NORTH LORI,4259 LOPEZ STATION
XKYRLFPXXXX,"Wolf, Brown and Horne BANK",RUS,LAKE SAMUELTOWN,440 CASTRO HILL
OTFMYJIUXXX,Rhodes PLC BANK,CHN,SPARKSCHESTER,8467 HUNTER FORGES
KSFTYUXNXXX,Luna-Huang BANK,RUS,JAMESVIEW,881 VICTOR CROSSING SUITE 748
EZQSBEEBXXX,Paul Inc BANK,USA,CROSSLAND,2445 KURT ORCHARD SUITE 294
IRHIONKSXXX,Anderson-Zimmerman BANK,CHE,MELISSAFORT,069 DONNA MEADOW APT. 778
LHIBEWAJXXX,"Mendoza, Rowe and Chandler BANK",ZAF,NICOLEVIEW,0929 DANA KNOLL
OFTFETPAXXX,Jones-York BANK,UZB,NEW RHONDA,490 DARRELL OVAL APT. 626
YJPABCFBXXX,Spears Group BANK,KAZ,EAST JANICE,72105 BRENDA ALLEY SUITE 790
DCXVZYYJXXX,Elliott LLC BANK,GBR,HENDRIXFORT,8706 HENRY CLIFF
WLIKXEQCXXX,"Duncan, Romero and Clark BANK",CHE,PORT KELLY,041 BASS HOLLOW
ZYRWHRPIXXX,Carroll Inc BANK,ZAF,NORTH APRIL,527 SOTO PLAIN SUITE 733
SUXKCWGXXXX,Andrews-Hudson BANK,CHN,SOUTH MICHAELHAVEN,901 TIMOTHY ISLE
YGKEZQUAXXX,"Duran, Walker and Gardner BANK",KAZ,PORT CHARLESFURT,34682 THOMAS FLAT
LMBTVBUMXXX,Holland Group BANK,CHN,THOMASTOWN,42478 JOSEPH VILLAGES
EIKXLGLNXXX,Olson Group BANK,GBR,NEW JOEL,7188 STEPHANIE BURG SUITE 506
CPZOFJPHXXX,Walton Group BANK,GBR,ZACHARYSIDE,69725 BROOKE TERRACE SUITE 733
QYNQSMBVXXX,Alvarado Ltd BANK,USA,AUSTINSIDE,7967 DANIEL COMMON
SNJAUYXJXXX,Martinez-Martinez BANK,KAZ,SOUTH JENNIFER,7076 STEPHANIE BROOKS APT. 970
EANGSOZFXXX,"Woodard, Wilson and Morris BANK",GBR,SUSANVIEW,2967 HERNANDEZ COMMON
FVDNBWPMXXX,Hahn Group BANK,KAZ,LAURAFORT,80903 ESPINOZA BURG
RFCNUPOUXXX,"Hobbs, Pacheco and Pierce BANK",DEU,SHERMANTOWN,539 SARAH RAMP APT. 857
FAWFGDSZXXX,Delgado and Sons BANK,USA,ANDREABOROUGH,25635 CRAWFORD GLEN
XRBLOKWFXXX,Thompson and Sons BANK,FRA,NEW IAN,375 IAN PLAZA
OKOMAKRKXXX,"Snyder, Ortiz and Ray BANK",KAZ,WILSONHAVEN,4524 DOMINIC PASS
LEJLNGLWXXX,Garner-Decker BANK,RUS,BRIANBOROUGH,9062 TAYLOR HEIGHTS
DCVOSJHKXXX,"Barker, Evans and Young BANK",RUS,LAKE CHRISTINAFORT,930 ELLIS TURNPIKE SUITE 976
MYQSKWHGXXX,Alvarez Ltd BANK,DEU,SOUTH KEITHSIDE,40670 JAMES COURTS SUITE 496
IULIJLFKXXX,"Cochran, Boyer and Carter BANK",RUS,LAKE RYANSIDE,39219 ROBBINS VILLAGE SUITE 545
ZZQESBPXXXX,"Logan, Reyes and Reed BANK",FRA,NORTH JEREMYLAND,2792 MENDOZA WALKS
MYQQJIKKXXX,Chapman PLC BANK,CHN,SOUTH JOSHUAFURT,715 MARCUS TURNPIKE
ZUFCFLPSXXX,Knight Inc BANK,USA,RAYVIEW,2227 BRIAN ISLAND
FXAQLVGZXXX,Sanchez LLC BANK,FRA,EAST JOHN,75957 CONRAD LODGE SUITE 986
PMTCUQSRXXX,Warren-Brown BANK,KAZ,LOPEZMOUTH,126 PALMER FREEWAY SUITE 347
BLPRBNQCXXX,Evans-Chambers BANK,ZAF,NORTH JENNIFERBURY,339 KAREN PARKS
ZMXPDMOUXXX,"Ramos, Diaz and Lloyd BANK",CHE,ANNASIDE,557 MARQUEZ RIVER SUITE 925
ZLEJCWFIXXX,Chase and Sons BANK,FRA,NEW EMILYTON,77319 JAMES CREEK
DQARTXWSXXX,Mckee PLC BANK,CHN,MALDONADOVIEW,54777 PETERSEN STREAM
LVWMALERXXX,Austin Inc BANK,ZAF,WALKERPORT,8098 TIFFANY GLEN APT. 857
MSUXKHUBXXX,"Howell, Wells and Adams BANK",GBR,PARKERSTAD,53530 MOODY FREEWAY
KXZYDIVTXXX,Perez-Bennett BANK,RUS,EAST JACQUELINE,036 JONES BROOK SUITE 972
LUPAUIFJXXX,"Howell, Navarro and Henry BANK",UZB,NORTH SAMANTHA,63877 HOOVER VIEWS
HQHRWOVDXXX,Sosa-Burns BANK,FRA,BRENTBURY,90694 CHAPMAN ORCHARD
FIXSJJJEXXX,Hopkins LLC BANK,USA,NEW JOSEPHVILLE,760 JOSE MANOR
KXPQFIJPXXX,Kelly PLC BANK,CHE,NORTH ROBERTBURY,0259 BIRD ORCHARD SUITE 407
QFPPSVWRXXX,"Montgomery, Collins and Fowler BANK",CHE,TYLERVILLE,423 NATASHA CAPE APT. 486
NNKFKOYWXXX,Cook Inc BANK,FRA,SOUTH CHRISTINE,980 VICKIE SHORE
SRRKWVLPXXX,Hughes Inc BANK,FRA,MICHAELCHESTER,618 STEVEN KNOLLS
HPUJXGCAXXX,Flynn-Winters BANK,ZAF,PORT CHEYENNE,966 DUNCAN FLAT
OTHSOZUTXXX,Wilson-Hale BANK,KAZ,NORTH JUSTINBERG,880 MONICA LOOP
COIYVIKJXXX,Gonzalez Ltd BANK,CHE,LAKE DAVIDVIEW,600 MILLER STREET
EANHTHFSXXX,Castillo and Sons BANK,KAZ,NORTH VANESSABURY,9989 CAMPBELL VISTA SUITE 208
FYSHIVOHXXX,"Acosta, Raymond and Nelson BANK",CHE,LAKE ROSS,50356 SCOTT EXTENSIONS APT. 831
BREEICDQXXX,Monroe-Henson BANK,KAZ,NEW MICHAELVIEW,137 SMITH KNOLLS
QUWIIKXGXXX,"Shah, Morales and Harris BANK",CHE,RACHELBURY,35246 JAMES LIGHTS
AGDXCYJNXXX,Brooks Inc BANK,USA,BRYANTSIDE,46877 ROBIN SHORES SUITE 731
HSRHAKUOXXX,"Miller, Coleman and Burns BANK",GBR,BURKEVILLE,7947 KING LAKE
YMNCLGLKXXX,"Parker, Johnson and May BANK",CHE,WEST DANNY,32179 MARK CANYON APT. 464
HQDHVVUCXXX,Coleman-Lewis BANK,FRA,HUYNHMOUTH,974 BRIAN HARBORS APT. 713
JTOPVUAOXXX,Stephens-James BANK,KAZ,COPELANDPORT,856 SMALL VILLAGE APT. 053
LSBFFASZXXX,Owens PLC BANK,GBR,MATAVILLE,554 JESSICA LAKE
XSIFVPNUXXX,"Spencer, Harvey and Gonzalez BANK",CHE,PORT JODY,82498 MCCOY COURSE
UTROEZGUXXX,Hoffman LLC BANK,ZAF,WEST ROBERTMOUTH,8150 WALKER MISSION SUITE 719
NBYVJZWRXXX,Morse-Baker BANK,FRA,KATHLEENFORT,948 CHURCH TERRACE SUITE 739
MDFOLPEXXXX,Mendoza and Sons BANK,DEU,JUSTINTOWN,696 OWENS KEYS APT. 110
KPUQBNTQXXX,"Carroll, Suarez and Haynes BANK",CHN,PORT CHRISTOPHER,23934 CHRISTINA STREET SUITE 785
UWFXBNDDXXX,Gonzalez-Bishop BANK,FRA,WONGVILLE,27451 ONEAL CROSSING
YBYZVPPIXXX,Smith LLC BANK,CHE,NORTH DERRICKCHESTER,2245 LESLIE MANOR
